"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 14:07:57 CST 2020","Wed Jun 03 14:07:57 CST 2020","1","scripts","test_003","","","","test_02",""
"passed","Wed Jun 03 14:07:57 CST 2020","Wed Jun 03 14:07:57 CST 2020","1","scripts","test_003","","","","test_01",""
